Page;product;experimental;unreleased;season;alternateRecipe;mainRecipe;recipeName;craftedIn;avgPower;inCraftBench;inWorkShop;researchTier;producedIn;craftingTime;craftingClicks;productCount;productsPerMinute;product2;productCount2;productsPerMinute2;product3;productCount3;productsPerMinute3;product4;productCount4;productsPerMinute4;quantity1;ingredient1;quantity2;ingredient2;quantity3;ingredient3;quantity4;ingredient4;quantity5;ingredient5;quantity6;ingredient6;quantity7;ingredient7;quantity8;ingredient8;quantity9;ingredient9;quantity10;ingredient10
Drone;Drone;0;0;;0;1;Drone;"Build Gun";;;;"[[Tier 7]] - Aeronautical Engineering";;;;1;;;;;;;;;;;4;Motor;10;"Alclad Aluminum Sheet";1;"Radio Control Unit";2;"AI Limiter";1;"Portable Miner";;;;;;;;;;
"Drone Port";"Drone Port";0;0;;0;1;"Drone Port";"Build Gun";;;;"[[Tier 7]] - Aeronautical Engineering";;;;1;;;;;;;;;;;20;"Heavy Modular Frame";20;"High-Speed Connector";50;"Alclad Aluminum Sheet";50;"Aluminum Casing";10;"Radio Control Unit";;;;;;;;;;
"Electric Locomotive";"Electric Locomotive";0;0;;0;1;"Electric Locomotive";"Build Gun";;;;"[[Tier 6]] - Monorail Train Technology";;;;1;;;;;;;;;;;5;"Heavy Modular Frame";10;Motor;15;"Steel Pipe";5;Computer;;;;;;;;;;;;
"Electromagnetic Control Rod";"Electromagnetic Control Rod";0;0;;0;0;"Electromagnetic Control Rod";Assembler;;1;0;"[[Tier 8]] - Nuclear Power";;30;15;2;4;;;0;;;0;;;0;3;Stator;2;"AI Limiter";;;;;;;;;;;;;;;;
"Electromagnetic Control Rod";"Electromagnetic Control Rod";0;0;;1;0;"Electromagnetic Connection Rod";Assembler;;0;0;"[[Tier 8]] - Nuclear Power&lt;br&gt;[[Caterium Research]] - AI Limiter";;15;;2;8;;;0;;;0;;;0;2;Stator;1;"High-Speed Connector";;;;;;;;;;;;;;;;
"Empty Canister";"Empty Canister";0;0;;0;1;"Empty Canister";Constructor;;1;0;"[[Tier 5]] - Alternative Fluid Transport";;4;2;4;60;;;0;;;0;;;0;2;Plastic;;;;;;;;;;;;;;;;;;
"Empty Canister";"Empty Canister";0;0;;1;1;"Steel Canister";Constructor;;0;0;"[[Tier 5]] - Alternative Fluid Transport";;3;;2;40;;;0;;;0;;;0;3;"Steel Ingot";;;;;;;;;;;;;;;;;;
"Empty Canister";"Empty Canister";0;0;;1;1;"Coated Iron Canister";Assembler;;0;0;"[[Tier 5]] - Alternative Fluid Transport";;4;;4;60;;;0;;;0;;;0;2;"Iron Plate";1;"Copper Sheet";;;;;;;;;;;;;;;;
"Empty Fluid Tank";"Empty Fluid Tank";0;0;;0;1;"Empty Fluid Tank";Constructor;;1;0;"[[Tier 8]] - Advanced Aluminum Production";;1;;1;60;;;0;;;0;;;0;1;"Aluminum Ingot";;;;;;;;;;;;;;;;;;
"Empty Platform";"Empty Platform";0;0;;0;1;"Empty Platform";"Build Gun";;;;"[[Tier 6]] - Monorail Train Technology";;;;1;;;;;;;;;;;6;"Heavy Modular Frame";50;Concrete;;;;;;;;;;;;;;;;
"Empty Platform";"Empty Platform With Catwalk";0;0;;0;1;"Empty Platform With Catwalk";"Build Gun";;;;"[[Tier 6]] - Monorail Train Technology";;;;1;;;;;;;;;;;6;"Heavy Modular Frame";50;Concrete;;;;;;;;;;;;;;;;
"Encased Industrial Beam";"Encased Industrial Beam";0;0;;0;0;"Encased Industrial Beam";Assembler;;1;0;"[[Tier 4]] - Advanced Steel Production";;10;5;1;6;;;0;;;0;;;0;4;"Steel Beam";5;Concrete;;;;;;;;;;;;;;;;
"Encased Industrial Beam";"Encased Industrial Beam";0;0;;1;0;"Encased Industrial Pipe";Assembler;;0;0;"[[Tier 4]] - Advanced Steel Production";;15;;1;4;;;0;;;0;;;0;7;"Steel Pipe";5;Concrete;;;;;;;;;;;;;;;;
"Encased Plutonium Cell";"Encased Plutonium Cell";0;0;;0;0;"Encased Plutonium Cell";Assembler;;0;0;"[[Tier 8]] - Particle Enrichment";;12;;1;5;;;0;;;0;;;0;2;"Plutonium Pellet";4;Concrete;;;;;;;;;;;;;;;;
"Encased Plutonium Cell";"Encased Plutonium Cell";0;0;;1;0;"Instant Plutonium Cell";"Particle Accelerator";375;0;0;"[[Tier 8]] - Particle Enrichment";;120;;20;10;;;0;;;0;;;0;150;"Non-fissile Uranium";20;"Aluminum Casing";;;;;;;;;;;;;;;;
"Encased Uranium Cell";"Encased Uranium Cell";0;0;;0;0;"Encased Uranium Cell";Blender;;0;0;"[[Tier 8]] - Nuclear Power";;12;;5;25;"Sulfuric Acid";2;10;;;0;;;0;10;Uranium;3;Concrete;8;"Sulfuric Acid";;;;;;;;;;;;;;
"Encased Uranium Cell";"Encased Uranium Cell";0;0;;1;0;"Infused Uranium Cell";Manufacturer;;0;0;"[[Tier 8]] - Nuclear Power&lt;br&gt;[[Caterium Research]] - Caterium Ingots&lt;br&gt;[[Quartz Research]] - Quartz&lt;br&gt;[[Sulfur Research]] - Sulfur";;12;;4;20;;;0;;;0;;;0;5;Uranium;3;Silica;5;Sulfur;15;Quickwire;;;;;;;;;;;;
"Equipment Workshop";"Equipment Workshop";0;0;;0;1;"Equipment Workshop";"Build Gun";;;;"[[Tier 0]] - HUB Upgrade 1";;;;1;;;;;;;;;;;6;"Iron Plate";4;"Iron Rod";;;;;;;;;;;;;;;;
Explorer;Explorer;0;0;;0;1;Explorer;"Build Gun";;;;"[[Quartz Research]] - The Explorer";;;;1;;;;;;;;;;;5;"Crystal Oscillator";5;Motor;15;"Steel Pipe";5;"Heavy Modular Frame";;;;;;;;;;;;
Fabric;Fabric;0;0;;0;0;Fabric;Assembler;;1;0;"[[Mycelia Research]] - Fabric";;4;2;1;15;;;0;;;0;;;0;1;Mycelia;5;Biomass;;;;;;;;;;;;;;;;
Fabric;Fabric;0;0;;0;0;"Polyester Fabric";Refinery;;0;0;"[[Mycelia Research]] - Synthetic Polyester Fabric";;2;;1;30;;;0;;;0;;;0;1;"Polymer Resin";1;Water;;;;;;;;;;;;;;;;
"Factory Cart";"Factory Cart";0;0;;0;0;"Factory Cart";"Equipment Workshop";;0;1;"[[AWESOME Shop]] - FICSIT Factory Cart™";;;10;1;0;;;0;;;0;;;0;4;"Reinforced Iron Plate";4;"Iron Rod";2;Rotor;;;;;;;;;;;;;;
"Factory Cart";"Golden Factory Cart";0;0;;0;0;"Golden Factory Cart";"Equipment Workshop";;0;1;"[[AWESOME Shop]] - Golden FICSIT Factory Cart™";;;10;1;0;;;0;;;0;;;0;15;"Caterium Ingot";4;"Iron Rod";2;Rotor;;;;;;;;;;;;;;
FICSMAS;"Actual Snow";0;0;FICSMAS;0;0;"Actual Snow";Constructor;;0;0;"[[FICSMAS#MAM Research|FICSMAS Research]] - A Friend";;12;;2;10;;;0;;;0;;;0;5;"FICSMAS Gift";;;;;;;;;;;;;;;;;;
FICSMAS;"Blue FICSMAS Ornament";0;0;FICSMAS;0;0;"Blue FICSMAS Ornament";Smelter;;0;0;"[[FICSMAS#MAM Research|FICSMAS Research]] - Giant FICSMAS Tree: Upgrade 1";;12;;2;10;;;0;;;0;;;0;1;"FICSMAS Gift";;;;;;;;;;;;;;;;;;
FICSMAS;"Candy Cane";0;0;FICSMAS;0;0;"Candy Cane";Constructor;;0;0;"[[FICSMAS#MAM Research|FICSMAS Research]] - Candy Cane Basher";;12;;1;5;;;0;;;0;;;0;3;"FICSMAS Gift";;;;;;;;;;;;;;;;;;
FICSMAS;"Candy Cane Basher";0;0;FICSMAS;0;0;"Candy Cane Basher";"Equipment Workshop";;0;1;"[[FICSMAS#MAM Research|FICSMAS Research]] - Candy Cane Basher";;;6;1;0;;;0;;;0;;;0;2;Xeno-Zapper;25;"Candy Cane";15;"FICSMAS Gift";;;;;;;;;;;;;;
FICSMAS;"Candy Cane Building";0;0;FICSMAS;0;1;"Candy Cane Building";"Build Gun";;;;"[[FICSMAS#MAM Research|FICSMAS Research]] - Candy Cane Decor";;;;1;;;;;;;;;;;10;"Candy Cane";1;"FICSMAS Bow";;;;;;;;;;;;;;;;
FICSMAS;"Copper FICSMAS Ornament";0;0;FICSMAS;0;0;"Copper FICSMAS Ornament";Foundry;;0;0;"[[FICSMAS#MAM Research|FICSMAS Research]] - FICSMAS Gift Tree";;12;;1;5;;;0;;;0;;;0;2;"Red FICSMAS Ornament";2;"Copper Ingot";;;;;;;;;;;;;;;;
FICSMAS;"Fancy Fireworks";0;0;FICSMAS;0;0;"Fancy Fireworks";Assembler;;0;1;"[[FICSMAS#FICSMAS Calendar|FICSMAS Calendar]] - FICSMAS Fireworks";;24;;1;2.5;;;0;;;0;;;0;4;"FICSMAS Tree Branch";3;"FICSMAS Bow";;;;;;;;;;;;;;;;
FICSMAS;"FICSMAS Bow";0;0;FICSMAS;0;0;"FICSMAS Bow";Constructor;;0;0;"[[FICSMAS#MAM Research|FICSMAS Research]] - Candy Cane Decor";;12;;1;5;;;0;;;0;;;0;2;"FICSMAS Gift";;;;;;;;;;;;;;;;;;
FICSMAS;"FICSMAS Decoration";0;0;FICSMAS;0;0;"FICSMAS Decoration";Assembler;;0;0;"[[FICSMAS#MAM Research|FICSMAS Research]] - It's Snowing!";;60;;2;2;;;0;;;0;;;0;15;"FICSMAS Tree Branch";6;"FICSMAS Ornament Bundle";;;;;;;;;;;;;;;;
FICSMAS;"FICSMAS Gift Tree";0;0;FICSMAS;0;1;"FICSMAS Gift Tree";"Build Gun";;;;"[[FICSMAS#MAM Research|FICSMAS Research]] - FICSMAS Gift Tree";;;;1;;;;;;;;;;;50;"FICSMAS Gift";100;"FICSMAS Tree Branch";20;"Copper FICSMAS Ornament";20;"Iron FICSMAS Ornament";;;;;;;;;;;;
FICSMAS;"FICSMAS Ornament Bundle";0;0;FICSMAS;0;0;"FICSMAS Ornament Bundle";Assembler;;0;0;"[[FICSMAS#MAM Research|FICSMAS Research]] - FICSMAS Lights";;12;;1;5;;;0;;;0;;;0;1;"Copper FICSMAS Ornament";1;"Iron FICSMAS Ornament";;;;;;;;;;;;;;;;
FICSMAS;"FICSMAS Power Light";0;0;FICSMAS;0;1;"FICSMAS Power Light";"Build Gun";;;;"[[FICSMAS#MAM Research|FICSMAS Research]] - FICSMAS Lights";;;;1;;;;;;;;;;;1;Cable;1;"FICSMAS Ornament Bundle";;;;;;;;;;;;;;;;
FICSMAS;"FICSMAS Snow Dispenser";0;0;FICSMAS;0;1;"FICSMAS Snow Dispenser";"Build Gun";;;;"[[FICSMAS#MAM Research|FICSMAS Research]] - It's Snowing!";;;;1;;;;;;;;;;;10;"Candy Cane";100;"Actual Snow";2;"FICSMAS Decoration";;;;;;;;;;;;;;
FICSMAS;"FICSMAS Tree Branch";0;0;FICSMAS;0;0;"FICSMAS Tree Branch";Constructor;;0;0;"[[FICSMAS#MAM Research|FICSMAS Research]] - FICSMAS Tree Base";;6;;1;10;;;0;;;0;;;0;1;"FICSMAS Gift";;;;;;;;;;;;;;;;;;
FICSMAS;"FICSMAS Wonder Star";0;0;FICSMAS;0;0;"FICSMAS Wonder Star";Assembler;;0;0;"[[FICSMAS#MAM Research|FICSMAS Research]] - FICSMAS Wreath";;60;;1;1;;;0;;;0;;;0;5;"FICSMAS Decoration";20;"Candy Cane";;;;;;;;;;;;;;;;
FICSMAS;"FICSMAS Wreath";0;0;FICSMAS;0;1;"FICSMAS Wreath";"Build Gun";;;;"[[FICSMAS#MAM Research|FICSMAS Research]] - FICSMAS Wreath";;;;1;;;;;;;;;;;1;"FICSMAS Decoration";1;"FICSMAS Bow";;;;;;;;;;;;;;;;
FICSMAS;"Giant FICSMAS Tree";0;0;FICSMAS;0;1;"Giant FICSMAS Tree";"Build Gun";;;;"[[FICSMAS#MAM Research|FICSMAS Research]] - FICSMAS Tree Base";;;;1;;;;;;;;;;;100;"FICSMAS Tree Branch";50;"Reinforced Iron Plate";500;Concrete;;;;;;;;;;;;;;
FICSMAS;"Iron FICSMAS Ornament";0;0;FICSMAS;0;0;"Iron FICSMAS Ornament";Foundry;;0;0;"[[FICSMAS#MAM Research|FICSMAS Research]] - FICSMAS Gift Tree";;12;;1;5;;;0;;;0;;;0;3;"Blue FICSMAS Ornament";3;"Iron Ingot";;;;;;;;;;;;;;;;
FICSMAS;"Red FICSMAS Ornament";0;0;FICSMAS;0;0;"Red FICSMAS Ornament";Smelter;;0;0;"[[FICSMAS#MAM Research|FICSMAS Research]] - Giant FICSMAS Tree: Upgrade 1";;12;;1;5;;;0;;;0;;;0;1;"FICSMAS Gift";;;;;;;;;;;;;;;;;;
FICSMAS;Snowball;0;0;FICSMAS;0;0;Snowball;Constructor;;0;0;"[[FICSMAS#MAM Research|FICSMAS Research]] - Snowfight!";;12;;1;5;;;0;;;0;;;0;3;"Actual Snow";;;;;;;;;;;;;;;;;;
FICSMAS;"Snowball Pile";0;0;FICSMAS;0;0;"Snowball Mittens";"Equipment Workshop";;0;1;"[[FICSMAS#MAM Research|FICSMAS Research]] - Snowfight!";;;3;1;0;;;0;;;0;;;0;100;"Actual Snow";20;"Candy Cane";10;"FICSMAS Bow";;;;;;;;;;;;;;
FICSMAS;Snowman;0;0;FICSMAS;0;1;Snowman;"Build Gun";;;;"[[FICSMAS#MAM Research|FICSMAS Research]] - A Friend";;;;1;;;;;;;;;;;50;"Actual Snow";3;"Candy Cane";1;"FICSMAS Bow";3;"Red FICSMAS Ornament";2;"Blue FICSMAS Ornament";;;;;;;;;;
FICSMAS;"Sparkly Fireworks";0;0;FICSMAS;0;0;"Sparkly Fireworks";Assembler;;0;1;"[[FICSMAS#FICSMAS Calendar|FICSMAS Calendar]] - FICSMAS Fireworks";;24;;1;2.5;;;0;;;0;;;0;3;"FICSMAS Tree Branch";2;"Actual Snow";;;;;;;;;;;;;;;;
FICSMAS;"Sweet Fireworks";0;0;FICSMAS;0;0;"Sweet Fireworks";Assembler;;0;1;"[[FICSMAS#FICSMAS Calendar|FICSMAS Calendar]] - FICSMAS Fireworks";;24;;1;2.5;;;0;;;0;;;0;6;"FICSMAS Tree Branch";3;"Candy Cane";;;;;;;;;;;;;;;;
"Fluid Buffer";"Fluid Buffer";0;0;;0;1;"Fluid Buffer";"Build Gun";;;;"[[Tier 3]] - Coal Power";;;;1;;;;;;;;;;;10;"Copper Sheet";5;"Modular Frame";;;;;;;;;;;;;;;;
"Fluid Buffer";"Industrial Fluid Buffer";0;0;;0;1;"Industrial Fluid Buffer";"Build Gun";;;;"[[Tier 5]] - Alternative Fluid Transport";;;;1;;;;;;;;;;;30;Plastic;3;"Heavy Modular Frame";;;;;;;;;;;;;;;;
Foundations;"Double Ramp 2m (Asphalt)";;0;;0;1;"Double Ramp 2m (Asphalt)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Asphalt Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Double Ramp 2m (Coated)";;0;;0;1;"Double Ramp 2m (Coated)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Coated Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;Plastic;;;;;;;;;;;;;;;;
Foundations;"Double Ramp 2m (Concrete)";;0;;0;1;"Double Ramp 2m (Concrete)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Double Ramp 2m (FICSIT)";;0;;0;1;"Double Ramp 2m (FICSIT)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Iron Plate";;;;;;;;;;;;;;;;
Foundations;"Double Ramp 2m (Grip Metal)";;0;;0;1;"Double Ramp 2m (Grip Metal)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Grip Metal Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Steel Beam";;;;;;;;;;;;;;;;
Foundations;"Double Ramp 4m (Asphalt)";;0;;0;1;"Double Ramp 4m (Asphalt)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Asphalt Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Double Ramp 4m (Coated)";;0;;0;1;"Double Ramp 4m (Coated)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Coated Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;Plastic;;;;;;;;;;;;;;;;
Foundations;"Double Ramp 4m (Concrete)";;0;;0;1;"Double Ramp 4m (Concrete)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Double Ramp 4m (FICSIT)";;0;;0;1;"Double Ramp 4m (FICSIT)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Iron Plate";;;;;;;;;;;;;;;;
Foundations;"Double Ramp 4m (Grip Metal)";;0;;0;1;"Double Ramp 4m (Grip Metal)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Grip Metal Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Steel Beam";;;;;;;;;;;;;;;;
Foundations;"Double Ramp 8m (Asphalt)";;0;;0;1;"Double Ramp 8m (Asphalt)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Asphalt Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Double Ramp 8m (Coated)";;0;;0;1;"Double Ramp 8m (Coated)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Coated Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;Plastic;;;;;;;;;;;;;;;;
Foundations;"Double Ramp 8m (Concrete)";;0;;0;1;"Double Ramp 8m (Concrete)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Double Ramp 8m (FICSIT)";;0;;0;1;"Double Ramp 8m (FICSIT)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Iron Plate";;;;;;;;;;;;;;;;
Foundations;"Double Ramp 8m (Grip Metal)";;0;;0;1;"Double Ramp 8m (Grip Metal)";"Build Gun";;0;0;"[[AWESOME Shop]] - Double Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Grip Metal Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Steel Beam";;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 1m (Asphalt)";;0;;0;1;"Down Corner Ramp 1m (Asphalt)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Asphalt Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 1m (Coated)";;0;;0;1;"Down Corner Ramp 1m (Coated)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Coated Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;Plastic;;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 1m (Concrete)";;0;;0;1;"Down Corner Ramp 1m (Concrete)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 1m (FICSIT)";;0;;0;1;"Down Corner Ramp 1m (FICSIT)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Iron Plate";;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 1m (Grip Metal)";;0;;0;1;"Down Corner Ramp 1m (Grip Metal)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Grip Metal Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Steel Beam";;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 2m (Asphalt)";;0;;0;1;"Down Corner Ramp 2m (Asphalt)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Asphalt Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 2m (Coated)";;0;;0;1;"Down Corner Ramp 2m (Coated)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Coated Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;Plastic;;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 2m (Concrete)";;0;;0;1;"Down Corner Ramp 2m (Concrete)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 2m (FICSIT)";;0;;0;1;"Down Corner Ramp 2m (FICSIT)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Iron Plate";;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 2m (Grip Metal)";;0;;0;1;"Down Corner Ramp 2m (Grip Metal)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Grip Metal Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Steel Beam";;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 4m (Asphalt)";;0;;0;1;"Down Corner Ramp 4m (Asphalt)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Asphalt Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 4m (Coated)";;0;;0;1;"Down Corner Ramp 4m (Coated)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Coated Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;Plastic;;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 4m (Concrete)";;0;;0;1;"Down Corner Ramp 4m (Concrete)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 4m (FICSIT)";;0;;0;1;"Down Corner Ramp 4m (FICSIT)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Iron Plate";;;;;;;;;;;;;;;;
Foundations;"Down Corner Ramp 4m (Grip Metal)";;0;;0;1;"Down Corner Ramp 4m (Grip Metal)";"Build Gun";;0;0;"[[AWESOME Shop]] - Corner Ramp Pack&lt;br/&gt;∧ [[AWESOME Shop]] - Grip Metal Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Steel Beam";;;;;;;;;;;;;;;;
Foundations;"Foundation 1m (Asphalt)";;0;;0;1;"Foundation 1m (Asphalt)";"Build Gun";;0;0;"[[Tier 1]] - Base Building&lt;br/&gt;∧ [[AWESOME Shop]] - Asphalt Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Foundation 1m (Coated)";;0;;0;1;"Foundation 1m (Coated)";"Build Gun";;0;0;"[[Tier 1]] - Base Building&lt;br/&gt;∧ [[AWESOME Shop]] - Coated Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;Plastic;;;;;;;;;;;;;;;;
Foundations;"Foundation 1m (Concrete)";;0;;0;1;"Foundation 1m (Concrete)";"Build Gun";;0;0;"[[Tier 1]] - Base Building&lt;br/&gt;∧ [[AWESOME Shop]] - Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Foundation 1m (FICSIT)";;0;;0;1;"Foundation 1m (FICSIT)";"Build Gun";;0;0;"[[Tier 1]] - Base Building";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Iron Plate";;;;;;;;;;;;;;;;
Foundations;"Foundation 1m (Grip Metal)";;0;;0;1;"Foundation 1m (Grip Metal)";"Build Gun";;0;0;"[[Tier 1]] - Base Building&lt;br/&gt;∧ [[AWESOME Shop]] - Grip Metal Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Steel Beam";;;;;;;;;;;;;;;;
Foundations;"Foundation 2m (Asphalt)";;0;;0;1;"Foundation 2m (Asphalt)";"Build Gun";;0;0;"[[Tier 1]] - Base Building&lt;br/&gt;∧ [[AWESOME Shop]] - Asphalt Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Foundation 2m (Coated)";;0;;0;1;"Foundation 2m (Coated)";"Build Gun";;0;0;"[[Tier 1]] - Base Building&lt;br/&gt;∧ [[AWESOME Shop]] - Coated Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;Plastic;;;;;;;;;;;;;;;;
Foundations;"Foundation 2m (Concrete)";;0;;0;1;"Foundation 2m (Concrete)";"Build Gun";;0;0;"[[Tier 1]] - Base Building&lt;br/&gt;∧ [[AWESOME Shop]] - Concrete Foundation Material";;;;1;0;;;0;;;0;;;0;7;Concrete;;;;;;;;;;;;;;;;;;
Foundations;"Foundation 2m (FICSIT)";;0;;0;1;"Foundation 2m (FICSIT)";"Build Gun";;0;0;"[[Tier 1]] - Base Building";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Iron Plate";;;;;;;;;;;;;;;;
Foundations;"Foundation 2m (Grip Metal)";;0;;0;1;"Foundation 2m (Grip Metal)";"Build Gun";;0;0;"[[Tier 1]] - Base Building&lt;br/&gt;∧ [[AWESOME Shop]] - Grip Metal Foundation Material";;;;1;0;;;0;;;0;;;0;5;Concrete;2;"Steel Beam";;;;;;;;;;;;;;;;
